name;toshidexNumber;rarity;evolves;evolutionStage;description;ethCardIndex;type1;type2;maxHP;attack;defense;spAttack;spDefense;speed;knownMoves
Psychoseed;1;1;1;1;Psychoseed is one cutesy Toshimon. It thrives in fields and gardens that are well-kept and blows off annoying visitors like weeds and pests. Attracted to its vibrant red pileus, insects that drive pollination often visit its zone, and flowers often bloom around this Toshimon. If you enjoy dancing in the rain, you might just stumble on one of them as Psychoseed loves to crop up on a strong downpour. On bright sunny days, they can be extra bouncy and shoot spores around. If you want a long, fantasy-filled breather, catch some of these spores and you're sure to get some.;43;5;0;70;70;70;90;90;90;[{'moveBase': {'fileID': 11400000, 'guid': '8106c6ae042c15446b79c2724645af3d', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '1a210953059c5a648aff429da0eec30e', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Psychoscion;2;2;1;2;A more liberated and independent version of Psychoseed is Psychoscion. This tween mushroom tends to be more secretive. The darker hue of its pileus signifies its “nastier” side-eating leaves and flowers. So, if you want to lure them, you know the drill. It likes to appear in cold, moist, and almost abandoned areas where it can grow as much as it wants. When it's not eating other plants, Psychoscion loves practicing karate chops to show off. Be careful though-- this Toshimon's poisonous ooze is enough to knock you out for a few hours.;138;5;8;80;80;80;100;100;100;[{'moveBase': {'fileID': 11400000, 'guid': '15a36c56339b40a43bcd6e8f228edde0', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '7819cc72d47909648bf8bdf4272d7147', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '3dfc66c7b339edd47a761a5cb1a7abb2', 'type': 2}}]
Psychonaut;3;3;0;3;Psychonaut is a mushroom Toshimon that finally found its niche. Now that it knows what it wants, Psychonaut's pileus is more revealing and looking slicker that ever. Its fully transformed physique enables it to explore environments easily and get rid of enemies like weeds and pests by sucking in their bodies nutrients through its hyphae. Psychonaut's life goal is to spread its spores worldwide and rule over it as it believes that the world can do better with more mushrooms in it. Some would say this is asking for the moon, but be careful with your remarks... this Toshimon might just bite you. Though Psychonaut travels a lot, they love to savor a heavy downpour. So, if you want to observe a Psychonaut more closely, go out in the rain and you might just find this multicolored beast.;265;5;8;90;90;90;110;110;110;[{'moveBase': {'fileID': 11400000, 'guid': 'bdfcffaccd82e674fb36a8586edbad4c', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '1a210953059c5a648aff429da0eec30e', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'd2de26272d7fd514ab7e02e4111d307b', 'type': 2}}]
Elephire;4;1;1;1;This sweet and cuddly creature is like any other baby Toshimon, but if you get on its nerves, you'll surely get roasted. Elephire loves hanging out with other elephires in the wild. They usually play in the morning and take long and relaxing baths in the afternoon with their moms. A special session is also done with the elders to work on their temper and temperature. When you cross Elephire, make sure that there is a body of water nearby to run and hide. it might look adorable and fluffy, but when its magma boils and lava flows, you'll wish you could turn into stone. Don't worry, if you get a chance, just rub its belly and it will calm down. If this does not work, call its mom. That will surely do the trick or not.;44;2;0;60;60;60;100;100;100;[{'moveBase': {'fileID': 11400000, 'guid': '590fdd9c26efbf44cac3c72988b79588', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '5d6fe4a9634012942a2f08f5c8dfd4da', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Eleboom;5;2;1;2;It might be harder to cuddle with Eleboom because of its size but this Toshimon can still be very gentle. Now that it has more responsibilities, Eleboom can control its temper and temperature better. Its pronounced trunk and cute tusks signify its new-found strength shaping its environment. The best way to sight calm Elebooms are during the night when they take their relaxation baths after a long day. If you want to witness action, try stepping in their boundary and you'll get want you want, flametorch and all. And by all, meaning be swung around by their trunk and poked by their tusk. There's no trick to calm them, just look straight into their eyes and pray that the fire gods spare you.;139;2;7;70;70;70;110;110;110;[{'moveBase': {'fileID': 11400000, 'guid': '56a7163a423ddf04391cf28e61886271', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'e659f186565b68b49932efe8e453123f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Magmaboom;6;3;0;3;The oldest of the kin and certainly the wisest. There's no need for introduction because its mighty size, magnificent trunk and sharp tusks says it all. Magmaboom oversees the territory, makes sure that everything is in order and well-protected. Its volcanic back is a true witness to years of strength and leadership. It has the most control over the magma it possesses in its back therefore being capable of aiming at a specific target and never missing it. As gigantic as it seems, Magmaboom can outrun most Toshimons. If there's one thing to watch out for, it's this mighty beast.;266;2;7;80;80;80;120;120;120;[{'moveBase': {'fileID': 11400000, 'guid': 'b8795a7724caff14686f09f2bd25fe87', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '034cef39039176441b8f7b2b8c2bc679', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'bec78305a5dc83146925b1d19b87a8cc', 'type': 2}}]
Minky;7;1;1;1;Minky have fin-like tails that can swim up to 10mph in water. It is covered in sleek, smooth fur that allows to easily slip and slide through any surface it wants. Moreover, Minky have hardened paddle-like feet and forefeet that are hard enough for digging. Generally, it is harmless unless provoked. This toshimon is bashful towards other creatures and despite being common Minky do not live-in groups, instead it wants to be alone. It can live both in land and water. This water-type Toshimon can blast opponents with water sprayed from its mouth. It can also be able to create whirlpools from utilizing its fast-swimming capabilities. Minky's fur allows to slip past from the grip of any opponent despite lacking agility, and its forefeet can function like claws which can be used to scratch small rocks.;45;3;0;80;80;80;80;80;80;[{'moveBase': {'fileID': 11400000, 'guid': '8c6f9487b67246c44a1a8b4b71d7fdea', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '12c0a430c4e6eaf47b7d382c91251835', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Moley;8;2;1;2;Using its developed physique, Moley have legs and can walk on land. As it evolved from Minky, this Toshimon is also a fast swimmer. It's body is covered in sleek, smooth fur that gathers up to almost zero friction. Being bipedal, Moley have also grown whiskers that are able to detect vibrations whether underwater, underground or above ground. This Toshimon is more developed and more sensitive to its surroundings and can live both in land and in water, thus when facing its opponents, its tail helps for it to escape and dive into any body of water. You can easily spot this Toshimon in underground or underwater even though it is sneaky. Moley can launch itself at opponents while being surrounded in water in a powerful and fast Jetstream attack. It can also dig the ground and shake its opponents with a Tectonic Shift attack making the ground around them shake wildly like an earthquake.;140;3;9;90;90;90;90;90;90;[{'moveBase': {'fileID': 11400000, 'guid': '930d309962bfd274a8bc75eb5ca41610', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'ba0e0c2cc9f704d45aafc9cd0b0fc02f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Aquamink;9;3;0;3;Aquamink is a rare Toshimon which has a tail that is a large mass of muscle enabling it to swim up to 100mph. It is versatile which can swim fast and strike powerful attacks with its arsenal of capabilities whether its digging, swimming, or hitting. Aquamink is slippery and covered in thick fur rendering them resistant to the cold, its whiskers can detect vibrations from its surroundings while its tail can help launch itself up in a high jump. Despite its happy-looking appearance, Aquamink is sneaky and merciless in combat, it is fond of launching unexpected attacks and follows up a flurry of combos. It has strong claws, powerful tail, and sensitive whiskers that allow this Toshimon to deal powerful hits and do agile evasions. It's so powerful that it can conjure a large mass of water in a high tide and ride it to overwhelm its opponents, or shakes down their stability by striking the ground using its powerful tails with a Tectonic Shift.;267;3;9;100;100;100;100;100;100;[{'moveBase': {'fileID': 11400000, 'guid': 'e714836a5cd267545bc29904eb0250ad', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '1a732d422c679554e9b4e86b92987d13', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'ba0e0c2cc9f704d45aafc9cd0b0fc02f', 'type': 2}}]
Gotar;10;1;1;1;Covered in icicle spikes that imitate fur, Gotar is a small and fragile Toshimon which is why it covered itself with such deadly defenses. Gotar is cold-blooded creatures that lives in snowy and cold areas and scavenge through the ice with its tough claws. Despite being small and fragile, Gotar is a frightful creature that can camouflage itself in the thickness of the snow and blizzard. It is highly capable but still fragile and vulnerable because of its small stature. Gotar is hard to locate, especially in its habitat but its frightful nature makes it too scared to run so Gotar just stay in place. This Ice-type Toshimon utilizes its ice capabilities to toughen itself in a Flex by covering itself with more ice scales. Gotar is agile creature that is fast and can create blasts of ice out of thin air by creating a Chill Breeze. Its powerful claws enable to completely slash down rocks and many layers of ice.;46;6;0;50;120;50;120;50;90;[{'moveBase': {'fileID': 11400000, 'guid': '893f32a870d982d438bb520ddb8e6d5b', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '8c5a50738405ca04590ea19ae368ce25', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
